Name,Location,sun,mon,tues,wed,thurs,fri,sat
Burger U,"4233 East Plaza Drive, Orlando, FL 32816",11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am
Burger & Beer Joint,"11662 University Blvd., Orlando, FL 32817",11:30 am - 12:00 am,11:30 am - 12:00 am,11:30 am - 12:00 am,11:30 am - 12:00 am,11:30 am - 12:00 am,11:30 am - 2:00 am,11:30 am - 2:00 am
Burger 21,"11551 University Boulevard, Orlando, FL 32817",11:00 am - 9:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm
Chewy Boba Company,"4250 Alafaya Trail, Oviedo, FL 32765",11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm
Dragon Court,"4250 Alafaya Trail, Oviedo, FL 32765",12:00 pm - 9:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm
Dungeon Lounge,"12287 University Blvd., Orlando, FL 32817",Closed,8:00 pm - 2:00 am,Closed,8:00 pm - 2:00 am,8:00 pm - 2:00 am,8:00 pm - 2:00 am,8:00 pm - 2:00 am
Giovanni's Italian Restaurant and Pizzeria,"4250 Alafaya Trail, Oviedo, FL 32765",12:00 pm - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm
Greens & Grille,"11325 University Blvd., Orlando, FL 32817",Closed,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Closed
Huey Magoo's Chicken Tenders,"4293 Alafaya Trail, Oviedo, FL 32765",11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm
Hummus House,"11565 University Blvd., Orlando, FL 32817",11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm
Ikiwi Yogurt,"4250 Alafaya Trail, Oviedo, FL 32765",11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm
Jimmy Hula's,"11556 University Blvd., Orlando, FL 32817",11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm
Knight Library,"11448 University Blvd., Orlando, FL 32817",4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am
Lazy Moon Pizza,"11551 University Blvd., Orlando, FL 32817",11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 2:30 am,11:00 am - 2:30 am
Mad Hatter,"4498 N Alafaya Trail Suite 248, Orlando, FL 32826",7:00 pm - 2:00 am,7:00 pm - 2:00 am,7:00 pm - 2:00 am,7:00 pm - 2:00 am,7:00 pm - 2:00 am,7:00 pm - 2:00 am,7:00 pm - 2:00 am
Meridian Hookah Lounge,"3050 Alafaya Trail Suite 1012, Oviedo, FL 32765",8:00 pm - 3:00 am,8:00 pm - 3:00 am,8:00 pm - 3:00 am,8:00 pm - 3:00 am,8:00 pm - 3:00 am,8:00 pm - 3:00 am,8:00 pm - 3:00 am
Moat Sports Grille,"4250 Alafaya Trail Suite 100, Oviedo, FL 32765",11:00 am - 10:00 pm,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am
Nar Mediterranean Grill,"3402 Technological Avenue Suite 112, Orlando, FL 32817",11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am
Natura Coffee & Tea,"12078 Collegiate Way, Orlando, FL 32817",11:30 am - 12:00 am,10:30 am - 12:00 am,10:30 am - 12:00 am,10:30 am - 1:00 am,10:30 am - 1:00 am,10:30 am - 1:00 am,11:30 am - 1:00 am
Pita Pit,"12140 Collegiate Way, Orlando, FL 32817",10:30 am - 3:00 am,10:30 am - 3:00 am,10:30 am - 3:00 am,10:30 am - 3:00 am,10:30 am - 3:30 am,10:30 am - 3:30 am,10:30 am - 3:30 am
Public House,"12046 Collegiate Way, Orlando, FL 32817",12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am
Smoothie King,"12140 Collegiate Way, Orlando, FL 32817",10:00 am - 8:00 pm,8:00 am - 9:00 pm,8:00 am - 9:00 pm,8:00 am - 9:00 pm,8:00 am - 9:00 pm,8:00 am - 9:00 pm,8:00 am - 9:00 pm
SnoTea Desserts,"3402 Technological Avenue Suite 220, Orlando, FL 32817",12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm
Sus Hi Eatstation,"4498 North Alafaya Trail, Orlando, FL 32826",11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm
Tenders,"12226 Corporate Boulevard Suite 166, Orlando, FL 32826",Closed,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm
The Marketplace,Ferrell Commons,11:00 am - 8:00 pm,8:00 am - 8:00 pm,8:00 am - 8:00 pm,8:00 am - 8:00 pm,8:00 am - 8:00 pm,8:00 am - 8:00 pm,11:00 am - 8:00 pm
Vespr,"626 N Alafaya Trail #105, Orlando, FL 32828",8:00 am - 11:00 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm
World of Beer,"3402 Technological Avenue, Orlando, FL 32817",11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am